Year,Facility,City ,State ,Zip Code Region,Address,CO2 Emissions,CH4 Emissions,N2O Emissions,Category
2016,General Motors,KANSAS CITY,KS,66100,3201 FAIRFAX TRFCWY.,34668.5,16.25,19.37,low emitter
2016,General Motors,ROANOKE,IN,46700,12200 LAFAYETTE CENTER RD,59503.7,84.25,165.39,high emitter
2016,General Motors,LANSING,MI,48900,8175 MILLETT HWY,43241.2,20.25,24.14,low emitter
2016,General Motors,BEDFORD,IN,47400,105 GM DRIVE,37909.4,10590.5,21.16,low emitter
2016,General Motors,WARREN,OH,44400,2300 HALLOCK YOUNG ROAD,61779.4,29,34.57,high emitter
2016,General Motors,DETROIT,MI,48200,2500 EAST GENERAL MOTORS BOULEVARD,16290.8,7.75,9.24,low emitter
2016,General Motors,SAGINAW,MI,48600,1629 NORTH WASHINGTON AVENUE,39325,7239,22.05,low emitter
2016,FCA,Belvidere,IL,61000,3000 West Chrysler Drive,67233,31.75,37.85,high emitter
2016,FCA,Auburn Hills,MI,48300,800 Chrysler Drive,45451,21.5,25.63,low emitter
2016,FCA,DETROIT,MI,48200,2101 CONNER AVENUE,76103,36,42.91,high emitter
2016,FCA,KOKOMO,IN,46900,1001 E. BOULEVARD,29646,14,16.69,low emitter
2016,FCA,KOKOMO,IN,46900,2401 S REED RD,22227,10.5,12.52,low emitter
2016,FCA,STERLING HTS,MI,48300,38111 VAN DYKE,33925,16,19.07,low emitter
2016,FCA,STERLING HEIGHTS,MI,48300,7150 METROPOLITAN PARKWAY,223,5.35,8.95,low emitter
2016,FCA,STERLING HEIGHTS,MI,48300,35777 VAN DYKE,10551,5,5.96,low emitter
2016,FCA,TOLEDO,OH,43600,4400 CHRYSLER DRIVE,82675,39,46.49,high emitter
2016,FCA,WARREN,MI,48000,22800 MOUND RD.,4758,2.25,2.68,low emitter
2016,FCA,WARREN,MI,48000,21500 MOUND ROAD,105859,50,59.6,high emitter
2016,FCA,Warren,MI,48000,21035 Sherwood Avenue,5525,2.5,2.98,low emitter
2016,Tesla,Fremont,CA,94500,45500 Fremont Boulevard,27582.3,13,15.5,low emitter
2016,GMC,ARLINGTON,TX,76000,2525 EAST ABRAM STREET,45542.3,21.5,25.63,low emitter
2015,Ford,Claycomo,MO,64100,8121 NE Highway 69,90515.6,42.75,50.96,high emitter
2015,Ford,Louisville,KY,40200,3001 Chamberlain Lane,86691.8,40.75,48.57,high emitter
2015,Ford,Livonia,MI,48100,36200 Plymouth Road,18020.4,8.5,10.13,low emitter
2015,Ford,Louisville,KY,40200,2000 Fern Valley Road,61482.7,29,34.57,high emitter
2015,Ford,Wayne,MI,48100,38303 Michigan Avenue,66318.3,40,57.51,high emitter
2015,Ford,AVON LAKE,OH,44000,650 MILLER ROAD,37028.6,17.5,20.86,low emitter
2015,Ford,Dearborn,MI,48100,2450 Carroll Shelby Way,77982.5,36.75,43.81,high emitter
2015,Ford,Dearborn,MI,48100,3001 Miller Road,72840.6,34.25,40.83,high emitter
2015,Ford,SHARONVILLE,OH,45200,3000 SHARON ROAD,19757.2,9.25,11.32,low emitter
2015,Ford,Sterling Heights,MI,48300,39000 Mound Road,41489.1,19.5,23.24,low emitter
2015,Ford,Chicago,IL,60600,12600 S. Torrence Avenue,51584.6,24.25,28.91,high emitter
2015,Ford,FLAT ROCK,MI,48100,1 INTERNATIONAL DR.,63280.2,29.75,35.46,high emitter
2015,General Motors,MILFORD,MI,48300,3300 GENERAL MOTORS RD. MC 483-340-141,26863.6,12.75,15.2,low emitter
2015,General Motors,KANSAS CITY,KS,66100,3201 FAIRFAX TRFCWY.,53041.2,25,29.8,high emitter
2015,General Motors,ROANOKE,IN,46700,12200 LAFAYETTE CENTER RD,59721.7,82.5,161.22,high emitter
2015,General Motors,LANSING,MI,48900,8175 MILLETT HWY,45660.8,21.5,25.63,low emitter
2015,General Motors,BEDFORD,IN,47400,105 GM DRIVE,36404.1,11021.5,20.56,low emitter
2015,General Motors,WARREN,OH,44400,2300 HALLOCK YOUNG ROAD,67039.6,31.5,37.55,high emitter
2015,General Motors,DETROIT,MI,48200,2500 EAST GENERAL MOTORS BOULEVARD,13656.6,12,18.18,low emitter
2015,General Motors,SAGINAW,MI,48600,1629 NORTH WASHINGTON AVENUE,31148.9,7530,17.58,low emitter
2015,FCA,Belvidere,IL,61000,3000 West Chrysler Drive,75544,35.75,42.32,high emitter
2015,FCA,Auburn Hills,MI,48300,800 Chrysler Drive,51609,24.25,28.91,high emitter
2015,FCA,DETROIT,MI,48200,2101 CONNER AVENUE,79511,37.5,44.7,high emitter
2015,FCA,KOKOMO,IN,46900,1001 E. BOULEVARD,25133,11.75,14.01,low emitter
2015,FCA,KOKOMO,IN,46900,2401 S REED RD,27522,13,15.5,low emitter
2015,FCA,STERLING HTS,MI,48300,38111 VAN DYKE,59023,27.75,33.08,high emitter
2015,FCA,STERLING HEIGHTS,MI,48300,7150 METROPOLITAN PARKWAY,361,0.25,0.3,low emitter
2015,FCA,STERLING HEIGHTS,MI,48300,35777 VAN DYKE,10426,5,5.96,low emitter
2015,FCA,TOLEDO,OH,43600,4400 CHRYSLER DRIVE,89814,42.25,50.36,high emitter
2015,FCA,WARREN,MI,48000,22800 MOUND RD.,5202,2.5,2.98,low emitter
2015,FCA,WARREN,MI,48000,21500 MOUND ROAD,102996,48.5,57.81,high emitter
2015,FCA,Warren,MI,48000,21035 Sherwood Avenue,5284,2.5,2.98,low emitter
2015,Tesla,Fremont,CA,94500,45500 Fremont Boulevard,33938.9,16,19.07,low emitter
2015,GMC,ARLINGTON,TX,76000,2525 EAST ABRAM STREET,45480.3,21.5,25.63,low emitter
2014,Ford,Brook Park,OH,44100,18300 Snow Road,9599,4.5,5.36,low emitter
2014,Ford,Claycomo,MO,64100,8121 NE Highway 69,109240.1,51.5,61.39,high emitter
2014,Ford,Louisville,KY,40200,3001 Chamberlain Lane,83014.8,39,46.49,high emitter
2014,Ford,Livonia,MI,48100,36200 Plymouth Road,24753.9,11.75,14.01,low emitter
2014,Ford,Louisville,KY,40200,2000 Fern Valley Road,66354.4,31.25,37.25,high emitter
2014,Ford,Wayne,MI,48100,38303 Michigan Avenue,70964.4,50,78.97,high emitter
2014,Ford,AVON LAKE,OH,44000,650 MILLER ROAD,50950.7,24,28.61,high emitter
2014,Ford,Dearborn,MI,48100,2450 Carroll Shelby Way,80751.6,38,45.3,high emitter
2014,Ford,Dearborn,MI,48100,3001 Miller Road,67109.7,31.5,37.55,high emitter
2014,Ford,SHARONVILLE,OH,45200,3000 SHARON ROAD,25069.9,12,14.9,low emitter
2014,Ford,Sterling Heights,MI,48300,39000 Mound Road,57108.2,27,32.18,high emitter
2014,Ford,Chicago,IL,60600,12600 S. Torrence Avenue,57387.5,27,32.18,high emitter
2014,Ford,FLAT ROCK,MI,48100,1 INTERNATIONAL DR.,60108.5,28.25,33.67,high emitter
2014,General Motors,MILFORD,MI,48300,3300 GENERAL MOTORS RD. MC 483-340-141,28096.6,13.25,15.79,low emitter
2014,General Motors,KANSAS CITY,KS,66100,3201 FAIRFAX TRFCWY.,58240.6,27.5,32.78,high emitter
2014,General Motors,ROANOKE,IN,46700,12200 LAFAYETTE CENTER RD,64770.5,68,124.27,high emitter
2014,General Motors,LANSING,MI,48900,8175 MILLETT HWY,47107.2,22.25,26.52,high emitter
2014,General Motors,BEDFORD,IN,47400,105 GM DRIVE,36916,11470.75,20.86,low emitter
2014,General Motors,WARREN,OH,44400,2300 HALLOCK YOUNG ROAD,75040.5,35.25,42.02,high emitter
2014,General Motors,DETROIT,MI,48200,2500 EAST GENERAL MOTORS BOULEVARD,43744.9,101,172.54,low emitter
2014,General Motors,SAGINAW,MI,48600,1629 NORTH WASHINGTON AVENUE,34065.3,7826.5,19.07,low emitter
2014,FCA,Belvidere,IL,61000,3000 West Chrysler Drive,86682.72,86593.4,40.75,high emitter
2014,FCA,Auburn Hills,MI,48300,800 Chrysler Drive,51470.26,51417.1,24.25,high emitter
2014,FCA,DETROIT,MI,48200,2101 CONNER AVENUE,89523.31,89430.7,42.25,high emitter
2014,FCA,KOKOMO,IN,46900,1001 E. BOULEVARD,24215.11,24189.9,11.5,low emitter
2014,FCA,KOKOMO,IN,46900,2401 S REED RD,34931.07,34894.9,16.5,low emitter
2014,FCA,STERLING HTS,MI,48300,38111 VAN DYKE,78157.56,78077,36.75,high emitter
2014,FCA,STERLING HEIGHTS,MI,48300,7150 METROPOLITAN PARKWAY,417.95,417.4,0.25,low emitter
2014,FCA,STERLING HEIGHTS,MI,48300,35777 VAN DYKE,11412.11,11400.6,5.25,low emitter
2014,FCA,TOLEDO,OH,43600,4400 CHRYSLER DRIVE,96089.29,95990.1,45.25,high emitter
2014,FCA,WARREN,MI,48000,22800 MOUND RD.,6790.42,6783.3,3.25,low emitter
2014,FCA,WARREN,MI,48000,21500 MOUND ROAD,108523.19,108411.4,51,high emitter
2014,FCA,Warren,MI,48000,21035 Sherwood Avenue,6376.58,6370,3,low emitter
2014,Tesla,Fremont,CA,94500,45500 Fremont Boulevard,30765,14.5,17.28,low emitter
2014,GMC,ARLINGTON,TX,76000,2525 EAST ABRAM STREET,44476.4,21,25.03,low emitter
2013,Ford,Brook Park,OH,44100,18300 Snow Road,10774.5,5,5.96,low emitter
2013,Ford,Claycomo,MO,64100,8121 NE Highway 69,83603.3,39.5,47.08,high emitter
2013,Ford,Louisville,KY,40200,3001 Chamberlain Lane,77964.3,36.75,43.81,high emitter
2013,Ford,Livonia,MI,48100,36200 Plymouth Road,36606.8,17.25,20.56,low emitter
2013,Ford,Louisville,KY,40200,2000 Fern Valley Road,56493.5,26.5,31.59,high emitter
2013,Ford,Wayne,MI,48100,38303 Michigan Avenue,69423.3,52.25,84.93,high emitter
2013,Ford,AVON LAKE,OH,44000,650 MILLER ROAD,50378.5,23.75,28.31,high emitter
2013,Ford,Dearborn,MI,48100,1601 Village Road,78225.2,36.75,43.81,high emitter
2013,Ford,Dearborn,MI,48100,3001 Miller Road,66526.4,31.25,37.25,high emitter
2013,Ford,SHARONVILLE,OH,45200,3000 SHARON ROAD,24539.7,11.5,14.01,low emitter
2013,Ford,Sterling Heights,MI,48300,39000 Mound Road,51396.5,24.25,28.91,high emitter
2013,Ford,SAINT PAUL,MN,55100,966 S. MISSISSIPPI RIVER BLVD.,243.2,21.35,27.65,low emitter
2013,Ford,Chicago,IL,60600,12600 S. Torrence Avenue,56078,26.5,31.59,high emitter
2013,Ford,FLAT ROCK,MI,48100,1 INTERNATIONAL DR.,60961.9,28.75,34.27,high emitter
2013,General Motors,MILFORD,MI,48300,3300 GENERAL MOTORS RD. MC 483-340-141,27189.8,12.75,15.2,low emitter
2013,General Motors,KANSAS CITY,KS,66100,3201 FAIRFAX TRFCWY.,52692,24.75,29.5,high emitter
2013,General Motors,ROANOKE,IN,46700,12200 LAFAYETTE CENTER RD,56226.8,52.5,92.68,high emitter
2013,General Motors,LANSING,MI,48900,8175 MILLETT HWY,48781.2,23,27.42,high emitter
2013,General Motors,BEDFORD,IN,47400,105 GM DRIVE,36056.4,11937.75,20.26,low emitter
2013,General Motors,WARREN,OH,44400,2300 HALLOCK YOUNG ROAD,70034.3,33,39.34,high emitter
2013,General Motors,DETROIT,MI,48200,2500 EAST GENERAL MOTORS BOULEVARD,84920,213.75,368.33,high emitter
2013,General Motors,SAGINAW,MI,48600,1629 NORTH WASHINGTON AVENUE,29699.8,8131.75,16.69,low emitter
2013,FCA,Belvidere,IL,61000,3000 West Chrysler Drive,93963,44.25,52.75,high emitter
2013,FCA,Auburn Hills,MI,48300,800 Chrysler Drive,48732,23,27.42,high emitter
2013,FCA,DETROIT,MI,48200,2101 CONNER AVENUE,84434,39.75,47.38,high emitter
2013,FCA,KOKOMO,IN,46900,1001 E. BOULEVARD,23954,11.25,13.41,low emitter
2013,FCA,KOKOMO,IN,46900,2401 S REED RD,37379,17.75,20.86,low emitter
2013,FCA,STERLING HTS,MI,48300,38111 VAN DYKE,81350,38.25,45.59,high emitter
2013,FCA,STERLING HEIGHTS,MI,48300,7150 METROPOLITAN PARKWAY,462,0.25,0.3,low emitter
